word,lemma,work,book_n,line_n,word_n
τ’,τε,,,,
σ’,σύ,,,,
ἀοιδοὶ,ἀοιδός,,,,
ἀοιδαὶ,ἀοιδή,,,,
ἀοιδὰν,ἀοιδή,,,,
ἀοιδοῖς,ἀοιδός,,,,
ἀοιδοῦ,ἀοιδός,,,,
ἀοιδὴ,ἀοιδή,,,,
ἀοιδή’,ἀοιδή,,,,
ἀοιδοὺς,ἀοιδός,,,,
πηληϊάδεω,πηλείδης,,,,
ἄλγε’,ἄλγος,,,,
ἄϊδι,ἅιδης,,,,
προί̈αψεν,προιάπτω,,,,
διὸς,ζεύς,,,,
οἰωνοῖσί,οἰωνός,,,,
ὀδυσῆί̈,ὀδυσσεύς,,,,
ὀδυσῆϊ,ὀδυσσεύς,,,,
ὀδυσεὺς,ὀδυσσεύς,,,,
ὀδυσσεὺς,ὀδυσσεύς,,,,
ἑκάεργος,Ἑκάεργος,,,,
ἑκάεργον,Ἑκάεργος,,,,
ἑκάεργε,Ἑκάεργος,,,,
ἑκαέργη,Ἑκαέργη,,,,
ἑκαέργην,Ἑκαέργη,,,,
παρήμενος,πάρημαι,,,,
παρήμενον,πάρημαι,,,,
παρήμενοι,πάρημαι,,,,
παρημένω,πάρημαι,,,,
δαιτί,δαίς,,,,
δαῖτας,δαίς,,,,
δαῖτες,δαίς,,,,
δαιτός,δαίς,,,,
Ζεῦ,ζεύς,,,,
ζεὺς,ζεύς,,,,
κραδίην,καρδία,,,,
ὀί̈ομαι,οἴομαι,,,,
ἠτίμασεν,ἀτιμάω,,,,
τρωσὶ,τρώς,,,,
τρωσὶν,τρώς,,,,
ἐννοσίγαι’,ἐννοσίγαιος,,,,
ἐννοσίγαιος,ἐννοσίγαιος,,,,
ἐί̈σης,ἴσος,,,,
προί̈ει,προίημι,,,,
αἰὼν,αἰών,,,,
ἐϊκυῖα,εἰκός,,,,
γεραιὲ,γεραιός,,,,
ἀχαιοὶ,ἀχαιός,,,,
ἀχιλλεὺς,ἀχιλλεύς,,,,
’αχιλῆος,ἀχιλλεύς,,,,
ἰδομενεὺς,ἰδομενεύς,,,,
ἤϋσεν,αὔω,,,,
χρειὼ,χρειώ,,,,
ἑοὺς,ἑός,,,,
πολεμήϊα,πολεμήϊος,,,,
φωνὴ,φωνή,,,,
βιὸν,βιός,,,,
πηλῆϊ,πηλεύς,,,,
τροχὸν,τροχός,,,,
ποιμὴν,ποιμήν,,,,
θαλερὸν,θαλερός,,,,
χροὶ̈,χρώς,,,,
ἀρχοὶ,ἀρχός,,,,
θαλερὴν,θαλερός,,,,
γνωτὸν,γνωτός,,,,
κρατερὰς,κρατερός,,,,
μηρὼ,μηρός,,,,
ἀργοὶ,ἀργός,,,,
κεῖσέ,κεῖσε,,,,
ἀχνύμενός,ἀχεύω,,,,
ζηνὸς,ζεύς,,,,
ἱδρὼς,ἱδρώς,,,,
χθιζὸν,χθιζός,,,,
δαὶ̈,δάις,,,,
κελαινὴ,κελαινός,,,,
ἀί̈ξας,αίσσω,,,,
ἔγχεί̈,ἔγχος,,,,
σφυρὸν,σφυρός,,,,
πυρκαϊῆς,πυρκαϊά,,,,
αἰχμὴν,αἰχμή,,,,
ὠκεανὸς,ὠκεανός,,,,
βαλὼν,βάλλω,,,,
ἰαχὴ,ἰαχή,,,,
διὶ,ζεύς,,,,
κεκληγὼς,κλάζω,,,,
ἡμέτερόν,ἡμέτερος,,,,
ἀχλὺς,ἀχλύς,,,,
παλλὰς,παλλάς,,,,
βοιωτοὶ,βοιωτός,,,,
λευκοὺς,λευκός,,,,
ἱερὸς,ἱερός,,,,
χαλεπὸς,χαλεπός,,,,
ζηνὶ,ζεύς,,,,
φυὴν,φυή,,,,
ζωοί,ζωός,,,,
χορὸν,χορός,,,,
ἐρεμνὴν,ἐρεμνός,,,,
χοροὶ,χορός,,,,
αἴσιμόν,αἴσιμος,,,,
φλογὶ,φλόξ,,,,
πολέμοιό,πόλεμος,,,,
δεῖμός,δεῖμος,,,,
ἐπεμβεβαὼς,ἐπεμβαίνω,,,,
οὔλυμπόν,ὄλυμπος,,,,
κὴρ,κήρ,,,,
αἰγὸς,αἴξ,,,,
περσεὺς,περσεύς,,,,
πρηνὴς,πρηνής,,,,
κεφαλαὶ,κεφαλή,,,,
βωμὸς,βωμός,,,,
εἴδεί̈,εἶδος,,,,
θνηταὶ,θνητός,,,,
οἶόν,οἶος,,,,
φυλόπιδός,φύλοπις,,,,
ἐὺς,ἐύς,,,,
ἀσπαστὸν,ἀσπαστός,,,,
ὁμὰ,ὁμός,,,,
ἡνίοχόν,ἡνίοχος,,,,
ἠνιόχην,ἠνιόχης,,,,
παλινάγρετός,παλινάγρετος,,,,
χαλεποὺς,χαλεπός,,,,
ῥύεταί,ἐρύω,,,,
ἄρηός,ἄρης,,,,
ἰφικλεί̈δην,ἰφικλείδης,,,,
ἀλκεί̈δαο,ἀλκείδης,,,,
κοί̈λην,κοῖλος,,,,
καββάλετ’,καταβάλλω,,,,
ὀιστοὶ,ὀιστός,,,,
ὑπολαμπὲς,ὑπολαμπής,,,,
προί̈ωξίς,προίωξις,,,,
παλίωξίς,παλίωξις,,,,
ὅμαδός,ὅμαδος,,,,
δαφοινεὸν,δαφοινεός,,,,
καναχῇσί,καναχή,,,,
ὁμιληδὸν,ὁμιληδόν,,,,
φρῖσσόν,φρίσσω,,,,
χλοῦναί,χλούνης,,,,
δρύαντά,δρυάς,,,,
ἐξάδιόν,ἐξάδιος,,,,
φάληρόν,φάληρος,,,,
πρόλοχόν,πρόλοχος,,,,
αἰγεί̈δην,αἰγεί̈δης,,,,
οἰωνιστὴν,οἰωνιστής,,,,
οὔρειόν,οὔρειος,,,,
πευκεί̈δας,πευκείδης,,,,
περιμήδεά,περιμήδης,,,,
δρύαλόν,δρύαλος,,,,
συναί̈γδην,συναίγδης,,,,
λιγὺ,λιγύς,,,,
κυκλοτερὴς,κυκλοτερής,,,,
ἐθοινῶντ’,θοινάω,,,,
ἁλιεὺς,ἁλιεύς,,,,
φαεινοὶ,φαεινός,,,,
ἄπλητοί,ἄπλητος,,,,
φαταὶ,φατός,,,,
δεινωπαὶ,δεινωπός,,,,
δαφοιναί,δαφοινός,,,,
ἄπληταί,ἄπλητός,,,,
κλωθὼ,κλωθώ,,,,
λάχεσίς,λάχεσις,,,,
ἀτροπος,ἄτροπος,,,,
χλωρὴ,χλωρή,,,,
ἀγλαί̈ῃς,ἀγλαί̈α,,,,
ἀγλαί̈ῃ,ἀγλαί̈α,,,,
ἀγλαί̈αι,ἀγλαί̈α,,,,
μελάνθησάν,μελαίνω,,,,
λαγὸς,λαγών,,,,
ῥυτὰ,ῥυτός,,,,
ἴδριές,ἴδρις,,,,
θεμιστονόην,θεμιστονόη,,,,
σαρκὸς,σάρξ,,,,
λωβητὸς,λωβητός,,,,
ἀποθρῴσκωσιν,ἀποθρῴσκω,,,,
αἴγειροί,αἴγειρος,,,,
ἰαωλκὸς,ἰαωλκός,,,,
ἄνθειά,ἄνθεια,,,,
προϊδέσθαι,προεῖδον,,,,
ὀρθὰς,ὀρθός,,,,
ἄραβός,ἄραβος,,,,
κόρυθός,κόρυθος,,,,
ἐπιθρῴσκουσα,ἐπιθρῴσκω,,,,
εἴκελά,εἴκελος,,,,
κακτάμεναι,κατακτάομαι,,,,
νίσσοντ’,νίσσομαι,,,,
ἀιδὲς,ἀιδής,,,,
κυδοιμὸς,κυδοιμός,,,,
κυδοιμὸν,κυδοιμός,,,,
ὑμεναίου,ὑμέναιος,,,,
ὑμεναίους,ὑμέναιος,,,,
ὑμεναίων,ὑμέναιος,,,,
χάρμης,χάρμη,,,,
λαιμῷ,λαιμός,,,,
λαιμοῖο,λαιμός,,,,
κεραυνῶν,κεραυνός,,,,
κεραυνοί,κεραυνός,,,,
πηληι+άδης,πηλείδης,,,,
πηληϊάδαο,πηλείδης,,,,
προΐαψεν,προϊάπτω,,,,
ἀπερείσι’,ἀπερείσιος,,,,
Ὀλύμπια,Ὀλύμπιος,,,,
οἶκόνδε,οἶκος,,,,
οἶκόνδ’,οἶκος,,,,
οὔτ’,οὔτε,,,,
οὔθ’,οὔτε,,,,
αίδαο,ἅιδης,,,,
ἀΐδαο,ἅιδης,,,,
ἀΐδεω,ἅιδης,,,,
ἀΐδῃ,ἅιδης,,,,
ἀΐδην,ἅιδης,,,,
ἄϊδος,ἅιδης,,,,
περ,περ,,,,
θ’,τε,,,,
ἄρ’,ἄρα,,,,
ἔθ’,ἔτι,,,,
κάτ’,κατά,,,,
πάρ’,παρά,,,,
τόθ’,τότε,,,,
ἀεικέϊ,ἀεικής,,,,
ἀταρβέϊ,ἀραρβής,,,,
ἔτ’,ἔτι,,,,
ὀϊόμεθ’,οἴομαι,,,,
πέρ,περ,,,,
ἀτρεΐδα,ἀτρείδης,,,,
ἀτρεῖδαι,ἀτρείδης,,,,
ἀτρεΐδαο,ἀτρείδης,,,,
ἀτρεΐδας,ἀτρείδης,,,,
ἀτρεΐδεω,ἀτρείδης,,,,
ἀτρεΐδη,ἀτρείδης,,,,
ἀτρεΐδην,ἀτρείδης,,,,
Ἀτρείδης,ἀτρείδης,,,,
ἀτρείδης,ἀτρείδης,,,,
ἀτρεΐδης,ἀτρείδης,,,,
ἀτρεΐδῃς,ἀτρείδης,,,,
ἀτρεΐδῃσι,ἀτρείδης,,,,
ἀτρεΐδῃσιν,ἀτρείδης,,,,
ἀτρεΐδῃ,ἀτρείδης,,,,
τροίης,τροία,,,,
τροίη,τροία,,,,
εΰφρονι,εὔφρων,,,,
ἐΰφρονος,εὔφρων,,,,
ἐΰφροσι,εὔφρων,,,,
ἐΰφροσιν,εὔφρων,,,,
εΰφρονα,εὔφρων,,,,
ἡρακλέην,ἡρακλέης,,,,
ἡρακλέι,ἡρακλέης,,,,
ἡρακλέος,ἡρακλέης,,,,
ἡρακλῆα,ἡρακλέης,,,,
ἡρακλῆι,ἡρακλέης,,,,
ἡρακλῆος,ἡρακλέης,,,,
ἡρακλεΐδαο,ἡρακλεΐδης,,,,
ἡρακλεΐδην,ἡρακλεΐδης,,,,
τυδεΐδῃ,τυδεΐδης,,,,
τυδεΐδην,τυδεΐδης,,,,
τυδεΐδη,τυδεΐδης,,,,
τυδείδαο,τυδεΐδης,,,,
τυδεΐδεω,τυδεΐδης,,,,
τυδείδης,τυδεΐδης,,,,
τυδεΐδαο,τυδεΐδης,,,,
τυδείδη,τυδεΐδης,,,,
τυδείδῃ,τυδεΐδης,,,,
τυδείδην,τυδεΐδης,,,,
τυδέϊ,τυδεύς,,,,
πυρκαϊὴ,πυρκαϊά,,,,
πυρκαϊῇ,πυρκαϊά,,,,
πυρκαϊήν,πυρκαϊά,,,,
πυρκαϊὴν,πυρκαϊά,,,,
ἄγκε’,ἄγκος,,,,
ἀγλαϊη,ἀγλαία,,,,
ἀγλαΐῃς,ἀγλαία,,,,
ἀγλαΐῃσιν,ἀγλαία,,,,
ἁγνιάδαο,ἁγνιάδης,,,,
ἁγνιάδην,ἁγνιάδης,,,,
ἀγόρευ’,ἀγορεύω,,,,
ἀδελφειαὶ,ἀδελφειή,,,,
ἀδελφειῆς,ἀδελφειή,,,,
Ἅιδης,ἅιδης,,,,
ἀδριάδας,ἀδριάς,,,,
ἀδριάδες,ἀδριάς,,,,
ἁδρυάδας,ἀδρυάς,,,,
ἁδρυάδες,ἀδρυάς,,,,
ἁδρυάδεσσι,ἀδρυάς,,,,
ἁδρυάδεσσιν,ἀδρυάς,,,,
ἀεθλητῆρας,ἀθλητής,,,,
ἀεθλητῆρες,ἀθλητής,,,,
ἀεθλητῆρι,ἀθλητής,,,,
ἀεθλητῆρος,ἀθλητής,,,,
ἀεθλητῆρσιν,ἀθλητής,,,,
οὐδ’,οὐδέ,,,,
π,,,,,
αἰγεΐδην,αἰγεΐδης,,,,
ἀλκεΐδαο,ἀλκείδης,,,,
ἀλκεΐδην,ἀλκείδης,,,,
ἀλλήλῃς,ἀλλήλων,,,,
κατενήνοθεν,κατενήνοθεν,,,,
κατέδυσε,καταδύω,,,,
καθεζόμενοι,καθέζομαι,,,,
κατεσσεύεσθε,κατασεύομαι,,,,
κατεναντίη,κατεναντίος,,,,
κατεναντία,κατεναντίος,,,,
κατερρίγησεν,καταρριγέω,,,,
κατημάλδυνε,καταμαλδύνω,,,,
κάταντες,κατάντης,,,,
μετεστεναχίζετ’,μεταστοναχίζομαι,,,,
ὀϊστοῖς,ὀιστός,,,,
ἦ,ἦ,,,,
ἦ,ἦ,Argon.,1,134,2
ἦ,ἠμί,Argon.,1,306,1
σφ’,σφεῖς,,,,
οὗ,ὅς,,,,
